unix_timestamp_ms,lastUpdateId,bid_price_0,bid_qty_0,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,bid_price_6,bid_qty_6,bid_price_7,bid_qty_7,bid_price_8,bid_qty_8,bid_price_9,bid_qty_9,ask_price_0,ask_qty_0,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,ask_price_6,ask_qty_6,ask_price_7,ask_qty_7,ask_price_8,ask_qty_8,ask_price_9,ask_qty_9
1764326043348,261589111207,1.110300,11792.940000,1.110200,34234.040000,1.110100,11489.660000,1.110000,16713.980000,1.109900,31852.910000,1.109800,33955.620000,1.109700,16297.170000,1.109600,30601.640000,1.109500,17548.590000,1.109400,17669.170000,1.110400,2170.020000,1.110500,2616.880000,1.110600,3263.080000,1.110700,11706.450000,1.110800,7738.990000,1.110900,24146.310000,1.111000,13294.470000,1.111100,15153.720000,1.111200,39834.160000,1.111300,64868.880000
1764326050327,261589329423,1.111600,2728.750000,1.111500,208.980000,1.111400,6890.830000,1.111300,17132.600000,1.111200,14311.470000,1.111100,25723.400000,1.111000,7472.960000,1.110900,45994.610000,1.110800,36775.000000,1.110700,7610.940000,1.111700,31662.110000,1.111800,13150.300000,1.111900,4677.250000,1.112000,18436.660000,1.112100,34666.120000,1.112200,9834.040000,1.112300,28692.350000,1.112400,9606.730000,1.112500,26104.860000,1.112600,15526.920000
1764326050581,261589336930,1.111600,624.910000,1.111500,2120.280000,1.111400,15619.640000,1.111300,8402.900000,1.111200,14311.470000,1.111100,25723.400000,1.111000,7472.960000,1.110900,45994.610000,1.110800,36775.000000,1.110700,7610.940000,1.111700,34936.420000,1.111800,14343.560000,1.111900,9071.440000,1.112000,32651.550000,1.112100,34678.290000,1.112200,9834.040000,1.112300,23837.270000,1.112400,9606.730000,1.112500,26104.860000,1.112600,15526.920000
1764326050846,261589344029,1.111600,397.060000,1.111500,805.940000,1.111400,15915.640000,1.111300,10033.840000,1.111200,14311.470000,1.111100,25723.400000,1.111000,7472.960000,1.110900,45994.610000,1.110800,36775.000000,1.110700,7610.940000,1.111700,33882.420000,1.111800,14343.560000,1.111900,10817.710000,1.112000,32651.550000,1.112100,34690.270000,1.112200,9834.040000,1.112300,23837.270000,1.112400,9606.730000,1.112500,26104.860000,1.112600,15526.920000
1764326051098,261589350769,1.111600,955.440000,1.111500,805.940000,1.111400,15619.640000,1.111300,10033.840000,1.111200,14311.470000,1.111100,27421.660000,1.111000,5774.550000,1.110900,45994.610000,1.110800,36775.000000,1.110700,7610.940000,1.111700,33706.420000,1.111800,14343.560000,1.111900,10817.710000,1.112000,32651.550000,1.112100,34800.630000,1.112200,9834.040000,1.112300,24321.740000,1.112400,9606.730000,1.112500,26104.860000,1.112600,15526.920000
1764326051348,261589358413,1.111600,584.920000,1.111500,1254.720000,1.111400,15170.860000,1.111300,10033.840000,1.111200,14990.710000,1.111100,25044.100000,1.111000,7472.960000,1.110900,45994.610000,1.110800,27559.450000,1.110700,7610.940000,1.111700,33706.420000,1.111800,15034.050000,1.111900,10817.710000,1.112000,23849.960000,1.112100,7056.750000,1.112200,9834.040000,1.112300,51968.390000,1.112400,9606.730000,1.112500,26104.860000,1.112600,15526.920000
1764326051605,261589366946,1.111700,42372.000000,1.111600,34935.400000,1.111500,17507.500000,1.111400,6442.050000,1.111300,3630.710000,1.111200,12089.790000,1.111100,47431.510000,1.111000,7472.960000,1.110900,30295.230000,1.110800,19661.790000,1.111800,2829.050000,1.111900,2272.900000,1.112000,615.380000,1.112100,1037.430000,1.112200,112.810000,1.112300,333.420000,1.112400,946.320000,1.112500,1183.340000,1.112600,85.560000,1.112700,60.770000
1764326051856,261589374832,1.112400,37470.750000,1.112300,1921.200000,1.112200,3015.000000,1.112100,7293.220000,1.112000,21306.190000,1.111900,32606.200000,1.111800,26601.920000,1.111700,43882.160000,1.111600,24906.710000,1.111500,17949.110000,1.112500,88.950000,1.112600,401.270000,1.112700,351.780000,1.112800,2418.960000,1.112900,395.400000,1.113000,4531.350000,1.113100,11580.010000,1.113200,4202.000000,1.113300,10920.030000,1.113400,18288.920000
1764326052106,261589381890,1.112600,28030.570000,1.112500,3070.780000,1.112400,29579.470000,1.112300,35140.590000,1.112200,5053.030000,1.112100,5843.220000,1.112000,17054.460000,1.111900,2298.830000,1.111800,32490.580000,1.111700,34100.510000,1.112700,4882.770000,1.112800,6198.620000,1.112900,395.400000,1.113000,4531.350000,1.113100,11726.920000,1.113200,4295.540000,1.113300,9590.860000,1.113400,22640.520000,1.113500,21241.740000,1.113600,34413.390000
1764326052361,261589388343,1.112600,59002.150000,1.112500,8974.420000,1.112400,11831.250000,1.112300,34422.240000,1.112200,2940.510000,1.112100,21020.060000,1.112000,20637.220000,1.111900,12002.560000,1.111800,25732.920000,1.111700,28068.890000,1.112700,60.770000,1.112800,6198.620000,1.112900,3746.500000,1.113000,942.880000,1.113100,3285.180000,1.113200,14180.130000,1.113300,12554.220000,1.113400,20515.810000,1.113500,11571.370000,1.113600,15705.560000
