unix_timestamp_ms,bid,ask,mid
1764326044420,91599.9,91600.0,91599.950000
1764326050557,91604.7,91604.8,91604.750000
1764326050815,91604.7,91604.8,91604.750000
1764326051067,91604.7,91604.8,91604.750000
1764326051319,91604.7,91604.8,91604.750000
1764326051569,91604.7,91604.8,91604.750000
1764326051820,91604.7,91604.8,91604.750000
1764326052090,91604.7,91604.8,91604.750000
1764326052341,91604.7,91604.8,91604.750000
1764326052595,91604.7,91604.8,91604.750000
1764326052851,91604.7,91604.8,91604.750000
1764326053103,91604.7,91604.8,91604.750000
1764326053358,91604.7,91604.8,91604.750000
1764326053608,91613.1,91613.2,91613.150000
1764326053858,91619.3,91619.4,91619.350000
1764326054109,91619.3,91619.4,91619.350000
1764326054359,91619.3,91619.4,91619.350000
1764326054614,91619.9,91620.0,91619.950000
1764326054869,91619.9,91620.0,91619.950000
1764326055119,91619.9,91620.0,91619.950000
1764326055369,91619.9,91620.0,91619.950000
1764326055620,91619.9,91620.0,91619.950000
1764326055873,91619.9,91620.0,91619.950000
1764326056123,91619.9,91620.0,91619.950000
1764326056373,91618.9,91619.0,91618.950000
1764326056623,91618.9,91619.0,91618.950000
1764326056873,91618.9,91619.0,91618.950000
1764326057124,91618.9,91619.0,91618.950000
1764326057382,91618.9,91619.0,91618.950000
1764326057635,91618.9,91619.0,91618.950000
1764326057888,91618.9,91619.0,91618.950000
1764326058146,91618.9,91619.0,91618.950000
1764326058400,91618.9,91619.0,91618.950000
1764326058669,91618.9,91619.0,91618.950000
1764326058935,91618.9,91619.0,91618.950000
1764326059186,91618.9,91619.0,91618.950000
1764326059438,91618.9,91619.0,91618.950000
1764326059703,91618.9,91619.0,91618.950000
1764326059963,91618.9,91619.0,91618.950000
1764326060213,91618.9,91619.0,91618.950000
1764326060463,91618.9,91619.0,91618.950000
1764326060714,91618.9,91619.0,91618.950000
1764326060965,91618.9,91619.0,91618.950000
1764326061216,91618.9,91619.0,91618.950000
1764326061466,91618.9,91619.0,91618.950000
1764326061719,91618.9,91619.0,91618.950000
1764326061969,91618.9,91619.0,91618.950000
1764326062219,91618.9,91619.0,91618.950000
1764326062472,91618.9,91619.0,91618.950000
1764326062723,91618.9,91619.0,91618.950000
1764326062977,91618.9,91619.0,91618.950000
1764326063229,91618.9,91619.0,91618.950000
1764326063485,91618.9,91619.0,91618.950000
1764326063736,91618.9,91619.0,91618.950000
1764326063986,91618.9,91619.0,91618.950000
1764326064237,91618.9,91619.0,91618.950000
1764326064492,91618.9,91619.0,91618.950000
1764326064742,91618.9,91619.0,91618.950000
1764326065001,91618.9,91619.0,91618.950000
1764326065251,91618.9,91619.0,91618.950000
1764326065504,91618.9,91619.0,91618.950000
1764326065754,91618.9,91619.0,91618.950000
1764326066007,91618.9,91619.0,91618.950000
1764326066260,91618.9,91619.0,91618.950000
1764326066514,91618.9,91619.0,91618.950000
1764326066766,91618.9,91619.0,91618.950000
1764326067021,91618.9,91619.0,91618.950000
1764326067273,91618.9,91619.0,91618.950000
1764326067525,91618.9,91619.0,91618.950000
1764326067778,91618.9,91619.0,91618.950000
1764326068030,91618.9,91619.0,91618.950000
1764326068281,91618.9,91619.0,91618.950000
1764326068534,91618.9,91619.0,91618.950000
1764326068791,91618.9,91619.0,91618.950000
1764326069049,91618.9,91619.0,91618.950000
1764326069302,91618.9,91619.0,91618.950000
1764326069552,91618.9,91619.0,91618.950000
1764326069802,91618.9,91619.0,91618.950000
1764326070059,91618.9,91619.0,91618.950000
1764326070309,91618.9,91619.0,91618.950000
1764326070567,91618.9,91619.0,91618.950000
1764326070818,91618.9,91619.0,91618.950000
1764326071068,91618.9,91619.0,91618.950000
1764326071324,91618.9,91619.0,91618.950000
1764326071574,91618.9,91619.0,91618.950000
1764326071827,91618.9,91619.0,91618.950000
1764326072081,91618.9,91619.0,91618.950000
1764326072336,91618.9,91619.0,91618.950000
1764326072591,91618.9,91619.0,91618.950000
1764326072847,91618.9,91619.0,91618.950000
1764326073097,91618.9,91619.0,91618.950000
1764326073347,91618.9,91619.0,91618.950000
1764326073602,91618.9,91619.0,91618.950000
1764326073856,91618.9,91619.0,91618.950000
1764326074120,91618.9,91619.0,91618.950000
1764326074373,91618.9,91619.0,91618.950000
1764326074624,91618.9,91619.0,91618.950000
1764326074874,91618.9,91619.0,91618.950000
1764326075130,91618.9,91619.0,91618.950000
1764326075382,91618.9,91619.0,91618.950000
1764326075633,91618.9,91619.0,91618.950000
1764326075885,91618.9,91619.0,91618.950000
1764326076135,91618.9,91619.0,91618.950000
1764326076387,91618.9,91619.0,91618.950000
1764326076645,91618.9,91619.0,91618.950000
1764326076899,91618.9,91619.0,91618.950000
1764326077154,91618.9,91619.0,91618.950000
1764326077405,91618.9,91619.0,91618.950000
1764326077656,91618.9,91619.0,91618.950000
1764326077906,91618.9,91619.0,91618.950000
1764326078156,91618.9,91619.0,91618.950000
1764326078408,91618.9,91619.0,91618.950000
1764326078661,91618.9,91619.0,91618.950000
1764326078912,91618.9,91619.0,91618.950000
1764326079165,91618.9,91619.0,91618.950000
1764326079418,91618.9,91619.0,91618.950000
1764326079668,91618.9,91619.0,91618.950000
1764326079922,91618.9,91619.0,91618.950000
1764326080173,91618.9,91619.0,91618.950000
1764326080424,91618.9,91619.0,91618.950000
1764326080679,91618.9,91619.0,91618.950000
1764326080933,91618.9,91619.0,91618.950000
1764326081183,91618.9,91619.0,91618.950000
1764326081437,91618.9,91619.0,91618.950000
1764326081687,91618.9,91619.0,91618.950000
1764326081947,91618.9,91619.0,91618.950000
1764326082202,91618.9,91619.0,91618.950000
1764326082453,91618.9,91619.0,91618.950000
1764326082703,91618.9,91619.0,91618.950000
1764326082954,91618.9,91619.0,91618.950000
1764326083207,91618.9,91619.0,91618.950000
1764326083469,91618.9,91619.0,91618.950000
1764326083719,91618.9,91619.0,91618.950000
1764326083971,91618.9,91619.0,91618.950000
1764326084226,91618.9,91619.0,91618.950000
1764326084477,91618.9,91619.0,91618.950000
1764326084729,91618.9,91619.0,91618.950000
1764326084988,91618.9,91619.0,91618.950000
1764326085240,91618.9,91619.0,91618.950000
1764326085490,91618.9,91619.0,91618.950000
1764326085742,91618.9,91619.0,91618.950000
1764326085997,91618.9,91619.0,91618.950000
1764326086251,91618.9,91619.0,91618.950000
1764326086504,91618.9,91619.0,91618.950000
1764326086754,91618.9,91619.0,91618.950000
1764326087006,91618.9,91619.0,91618.950000
1764326087258,91618.9,91619.0,91618.950000
1764326087510,91618.9,91619.0,91618.950000
1764326087763,91618.9,91619.0,91618.950000
1764326088013,91618.9,91619.0,91618.950000
1764326088265,91618.9,91619.0,91618.950000
1764326088518,91618.9,91619.0,91618.950000
1764326088770,91618.9,91619.0,91618.950000
1764326089021,91618.9,91619.0,91618.950000
1764326089275,91618.9,91619.0,91618.950000
1764326089531,91618.9,91619.0,91618.950000
1764326089781,91618.9,91619.0,91618.950000
1764326090031,91611.0,91611.1,91611.050000
1764326090281,91611.0,91611.1,91611.050000
1764326090533,91610.0,91610.1,91610.050000
1764326090786,91610.0,91610.1,91610.050000
1764326091040,91610.0,91610.1,91610.050000
1764326091290,91610.0,91610.1,91610.050000
1764326091540,91610.0,91610.1,91610.050000
1764326091795,91610.0,91610.1,91610.050000
1764326092050,91610.0,91610.1,91610.050000
1764326092300,91610.0,91610.1,91610.050000
1764326092550,91610.0,91610.1,91610.050000
1764326092802,91610.0,91610.1,91610.050000
1764326093054,91610.0,91610.1,91610.050000
1764326093304,91610.0,91610.1,91610.050000
1764326093554,91610.0,91610.1,91610.050000
1764326093805,91610.0,91610.1,91610.050000
1764326094060,91606.0,91606.1,91606.050000
1764326094312,91606.0,91606.1,91606.050000
1764326094563,91606.0,91606.1,91606.050000
1764326094818,91606.0,91606.1,91606.050000
1764326095072,91606.0,91606.1,91606.050000
1764326095323,91606.0,91606.1,91606.050000
1764326095574,91606.0,91606.1,91606.050000
1764326095824,91606.0,91606.1,91606.050000
1764326096074,91606.0,91606.1,91606.050000
1764326096324,91606.0,91606.1,91606.050000
1764326096576,91606.0,91606.1,91606.050000
1764326096826,91606.0,91606.1,91606.050000
1764326097081,91604.7,91604.8,91604.750000
1764326097334,91604.7,91604.8,91604.750000
1764326097584,91604.4,91604.5,91604.450000
1764326097837,91603.9,91604.0,91603.950000
1764326098087,91588.5,91588.6,91588.550000
1764326098337,91587.9,91588.0,91587.950000
1764326098587,91583.4,91583.5,91583.450000
1764326098847,91583.4,91583.5,91583.450000
1764326099098,91580.0,91580.1,91580.050000
1764326099348,91577.0,91577.1,91577.050000
1764326099602,91573.0,91573.1,91573.050000
1764326099852,91573.0,91573.1,91573.050000
1764326100106,91573.0,91573.1,91573.050000
1764326100358,91570.0,91570.1,91570.050000
1764326100608,91549.2,91549.3,91549.250000
1764326100858,91549.2,91549.3,91549.250000
1764326101108,91549.2,91549.3,91549.250000
1764326101360,91549.2,91549.3,91549.250000
1764326101615,91549.2,91549.3,91549.250000
1764326101868,91549.2,91549.3,91549.250000
1764326102119,91549.2,91549.3,91549.250000
1764326102369,91549.2,91549.3,91549.250000
1764326102619,91549.2,91549.3,91549.250000
1764326102871,91548.6,91548.7,91548.650000
1764326103122,91546.9,91547.0,91546.950000
1764326103374,91544.7,91544.8,91544.750000
1764326103626,91540.0,91540.1,91540.050000
1764326103876,91540.0,91540.1,91540.050000
1764326104126,91538.4,91539.1,91538.750000
1764326104377,91538.4,91538.5,91538.450000
1764326104628,91538.4,91538.5,91538.450000
