unix_timestamp_ms,lastUpdateId,bid_price_0,bid_qty_0,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,bid_price_6,bid_qty_6,bid_price_7,bid_qty_7,bid_price_8,bid_qty_8,bid_price_9,bid_qty_9,ask_price_0,ask_qty_0,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,ask_price_6,ask_qty_6,ask_price_7,ask_qty_7,ask_price_8,ask_qty_8,ask_price_9,ask_qty_9
1764326045178,261589165461,91599.900000,11.424000,91599.800000,0.035000,91599.500000,0.255000,91598.500000,0.077000,91598.000000,0.002000,91597.700000,0.011000,91595.300000,0.777000,91595.100000,0.240000,91594.500000,0.002000,91594.200000,0.005000,91600.000000,1.476000,91600.500000,0.008000,91600.800000,0.004000,91602.100000,0.014000,91602.200000,0.002000,91602.900000,0.002000,91603.300000,0.033000,91603.500000,0.011000,91604.700000,0.413000,91604.800000,0.517000
1764326050557,261589336273,91604.700000,14.634000,91604.600000,0.870000,91603.900000,0.558000,91603.800000,0.043000,91600.900000,0.491000,91600.400000,0.007000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.002000,91604.800000,0.405000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326050815,261589343238,91604.700000,15.281000,91604.600000,0.870000,91603.900000,0.558000,91603.800000,0.043000,91600.900000,0.491000,91600.400000,0.007000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.798000,91604.800000,0.406000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326051067,261589350183,91604.700000,17.034000,91604.600000,0.870000,91603.900000,0.558000,91603.800000,0.043000,91600.900000,0.491000,91600.400000,0.007000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.798000,91604.800000,0.406000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326051319,261589357406,91604.700000,15.046000,91604.600000,0.870000,91603.900000,0.558000,91603.800000,0.043000,91600.900000,0.491000,91600.400000,0.007000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.798000,91604.800000,0.406000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326051569,261589365649,91604.700000,15.094000,91604.600000,0.027000,91604.100000,0.270000,91603.900000,0.005000,91603.800000,0.043000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.002000,91598.500000,0.077000,91598.200000,0.001000,91604.800000,0.406000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326051820,261589373848,91604.700000,14.058000,91604.600000,0.027000,91604.100000,0.770000,91603.900000,0.005000,91603.800000,0.043000,91602.700000,0.874000,91600.900000,0.491000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91604.800000,0.406000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.800000,0.002000
1764326052090,261589381520,91604.700000,14.058000,91604.600000,0.027000,91604.100000,0.770000,91603.900000,0.005000,91603.800000,0.043000,91602.700000,0.874000,91600.900000,0.491000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91604.800000,0.286000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.254000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.300000,0.949000
1764326052341,261589388040,91604.700000,14.663000,91604.600000,0.027000,91604.100000,0.770000,91603.900000,0.879000,91603.800000,0.043000,91600.900000,0.491000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.002000,91604.800000,0.286000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.017000,91610.400000,0.045000,91611.500000,0.007000,91613.200000,0.005000,91613.700000,0.364000
1764326052595,261589395479,91604.700000,14.907000,91604.100000,0.770000,91603.900000,0.005000,91603.800000,0.043000,91602.300000,0.874000,91600.900000,0.491000,91600.000000,0.546000,91599.900000,0.858000,91599.800000,0.002000,91598.600000,0.002000,91604.800000,0.286000,91606.000000,0.113000,91606.900000,0.036000,91608.000000,0.013000,91610.000000,0.005000,91610.300000,0.254000,91610.400000,0.045000,91611.500000,0.007000,91613.000000,0.922000,91613.200000,0.005000
