unix_timestamp_ms,bid,ask,mid
1764326064427,1.1124,1.1125,1.112450
1764326064678,1.1125,1.1126,1.112550
1764326064931,1.1125,1.1126,1.112550
1764326065181,1.1125,1.1126,1.112550
1764326065434,1.1125,1.1126,1.112550
1764326065720,1.1125,1.1126,1.112550
1764326066012,1.1125,1.1126,1.112550
1764326066263,1.1125,1.1126,1.112550
1764326066514,1.1125,1.1126,1.112550
1764326066813,1.1125,1.1126,1.112550
1764326067089,1.1126,1.1127,1.112650
1764326067340,1.1126,1.1127,1.112650
1764326067594,1.1126,1.1127,1.112650
1764326067845,1.1125,1.1126,1.112550
1764326068110,1.1125,1.1126,1.112550
1764326068379,1.1125,1.1126,1.112550
1764326068629,1.1125,1.1126,1.112550
1764326068880,1.1125,1.1126,1.112550
1764326069163,1.1125,1.1126,1.112550
1764326069432,1.1125,1.1126,1.112550
1764326069689,1.1125,1.1126,1.112550
1764326069939,1.1141,1.1142,1.114150
1764326070191,1.1141,1.1142,1.114150
1764326070444,1.1141,1.1142,1.114150
1764326070695,1.1141,1.1142,1.114150
1764326070952,1.1141,1.1142,1.114150
1764326071206,1.1141,1.1142,1.114150
1764326071461,1.1141,1.1142,1.114150
1764326071715,1.1141,1.1142,1.114150
1764326071973,1.1141,1.1142,1.114150
1764326072249,1.1141,1.1142,1.114150
1764326072517,1.1141,1.1142,1.114150
1764326072781,1.1141,1.1142,1.114150
1764326073054,1.1141,1.1142,1.114150
1764326073305,1.1141,1.1142,1.114150
1764326073559,1.1141,1.1142,1.114150
1764326073846,1.1141,1.1142,1.114150
1764326074099,1.1141,1.1142,1.114150
1764326074374,1.1141,1.1142,1.114150
1764326074624,1.1141,1.1142,1.114150
1764326074874,1.1141,1.1142,1.114150
1764326075167,1.1141,1.1142,1.114150
1764326075418,1.1141,1.1142,1.114150
1764326075689,1.1141,1.1142,1.114150
1764326075952,1.1141,1.1142,1.114150
1764326076262,1.1141,1.1142,1.114150
1764326076513,1.1141,1.1142,1.114150
1764326076808,1.1141,1.1142,1.114150
1764326077059,1.1141,1.1142,1.114150
1764326077347,1.1141,1.1142,1.114150
1764326077598,1.1141,1.1142,1.114150
1764326077853,1.1141,1.1142,1.114150
1764326078104,1.1141,1.1142,1.114150
1764326078358,1.1141,1.1142,1.114150
1764326078608,1.1141,1.1142,1.114150
1764326078858,1.1147,1.1148,1.114750
1764326079108,1.1156,1.1157,1.115650
1764326079358,1.1158,1.1159,1.115850
1764326079612,1.1158,1.1159,1.115850
1764326079866,1.1156,1.1157,1.115650
