unix_timestamp_ms,lastUpdateId,bid_price_0,bid_qty_0,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,bid_price_6,bid_qty_6,bid_price_7,bid_qty_7,bid_price_8,bid_qty_8,bid_price_9,bid_qty_9,ask_price_0,ask_qty_0,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,ask_price_6,ask_qty_6,ask_price_7,ask_qty_7,ask_price_8,ask_qty_8,ask_price_9,ask_qty_9
1764326046083,261589190068,3054.200000,200.128000,3054.100000,33.753000,3054.000000,90.188000,3053.900000,44.838000,3053.800000,147.197000,3053.700000,65.103000,3053.600000,162.012000,3053.500000,2.005000,3053.400000,77.291000,3053.300000,85.555000,3054.300000,34.171000,3054.400000,15.188000,3054.500000,50.763000,3054.600000,61.869000,3054.700000,39.290000,3054.800000,67.623000,3054.900000,64.847000,3055.000000,113.517000,3055.100000,12.123000,3055.200000,147.189000
1764326050426,261589332424,3054.600000,316.095000,3054.500000,101.057000,3054.400000,99.900000,3054.300000,54.032000,3054.200000,121.471000,3054.100000,54.123000,3054.000000,158.893000,3053.900000,17.690000,3053.800000,156.399000,3053.700000,182.061000,3054.700000,12.862000,3054.800000,0.042000,3054.900000,34.273000,3055.000000,170.049000,3055.100000,30.360000,3055.200000,63.977000,3055.300000,38.065000,3055.400000,25.794000,3055.500000,61.169000,3055.600000,25.042000
1764326050677,261589339723,3054.600000,306.056000,3054.500000,101.057000,3054.400000,99.900000,3054.300000,71.491000,3054.200000,136.130000,3054.100000,54.123000,3054.000000,65.594000,3053.900000,110.989000,3053.800000,23.251000,3053.700000,182.389000,3054.700000,12.862000,3054.800000,0.042000,3054.900000,35.381000,3055.000000,170.070000,3055.100000,46.816000,3055.200000,47.521000,3055.300000,22.657000,3055.400000,53.253000,3055.500000,61.169000,3055.600000,12.950000
1764326050928,261589346160,3054.600000,313.136000,3054.500000,101.057000,3054.400000,99.900000,3054.300000,84.989000,3054.200000,136.193000,3054.100000,250.580000,3054.000000,69.212000,3053.900000,110.989000,3053.800000,23.251000,3053.700000,182.389000,3054.700000,12.862000,3054.800000,0.042000,3054.900000,34.662000,3055.000000,170.133000,3055.100000,46.816000,3055.200000,47.521000,3055.300000,54.754000,3055.400000,21.156000,3055.500000,66.601000,3055.600000,4.351000
1764326051185,261589353690,3054.800000,109.979000,3054.700000,113.965000,3054.600000,143.924000,3054.500000,83.496000,3054.400000,34.672000,3054.300000,72.441000,3054.200000,131.012000,3054.100000,250.580000,3054.000000,69.212000,3053.900000,66.795000,3054.900000,34.988000,3055.000000,130.211000,3055.100000,46.816000,3055.200000,47.521000,3055.300000,54.754000,3055.400000,21.156000,3055.500000,66.601000,3055.600000,23.887000,3055.700000,54.734000,3055.800000,5.244000
1764326051435,261589361202,3054.800000,177.633000,3054.700000,22.231000,3054.600000,115.037000,3054.500000,83.496000,3054.400000,34.672000,3054.300000,9.838000,3054.200000,135.944000,3054.100000,98.317000,3054.000000,266.530000,3053.900000,66.795000,3054.900000,16.201000,3055.000000,130.232000,3055.100000,79.465000,3055.200000,47.521000,3055.300000,38.065000,3055.400000,21.156000,3055.500000,66.601000,3055.600000,6.031000,3055.700000,5.629000,3055.800000,49.438000
1764326051685,261589369516,3054.800000,179.697000,3054.700000,17.544000,3054.600000,88.033000,3054.500000,144.714000,3054.400000,34.672000,3054.300000,58.943000,3054.200000,54.742000,3054.100000,54.123000,3054.000000,130.851000,3053.900000,84.254000,3054.900000,38.672000,3055.000000,147.174000,3055.100000,79.465000,3055.200000,65.372000,3055.300000,32.189000,3055.400000,9.106000,3055.500000,66.601000,3055.600000,55.364000,3055.700000,5.629000,3055.800000,201.918000
1764326051935,261589376933,3054.800000,158.856000,3054.700000,31.729000,3054.600000,88.033000,3054.500000,100.604000,3054.400000,49.258000,3054.300000,58.943000,3054.200000,86.839000,3054.100000,85.228000,3054.000000,54.560000,3053.900000,128.448000,3054.900000,33.845000,3055.000000,147.174000,3055.100000,97.317000,3055.200000,47.521000,3055.300000,32.273000,3055.400000,22.778000,3055.500000,66.601000,3055.600000,38.036000,3055.700000,5.629000,3055.800000,49.765000
1764326052190,261589383714,3054.800000,170.622000,3054.700000,31.728000,3054.600000,88.030000,3054.500000,144.817000,3054.400000,5.064000,3054.300000,23.267000,3054.200000,103.844000,3054.100000,117.325000,3054.000000,54.560000,3053.900000,110.984000,3054.900000,36.774000,3055.000000,147.174000,3055.100000,79.462000,3055.200000,65.372000,3055.300000,32.553000,3055.400000,22.778000,3055.500000,68.505000,3055.600000,38.036000,3055.700000,5.629000,3055.800000,327.309000
1764326052440,261589390508,3054.800000,158.856000,3054.700000,31.951000,3054.600000,88.030000,3054.500000,144.901000,3054.400000,5.064000,3054.300000,23.267000,3054.200000,103.844000,3054.100000,161.517000,3054.000000,54.560000,3053.900000,17.690000,3054.900000,36.666000,3055.000000,147.174000,3055.100000,79.462000,3055.200000,65.372000,3055.300000,32.637000,3055.400000,22.778000,3055.500000,68.505000,3055.600000,38.036000,3055.700000,5.629000,3055.800000,283.117000
1764326052695,261589398176,3054.800000,150.171000,3054.700000,33.292000,3054.600000,82.467000,3054.500000,100.793000,3054.400000,5.064000,3054.300000,67.459000,3054.200000,109.407000,3054.100000,85.228000,3054.000000,54.560000,3053.900000,17.690000,3054.900000,44.519000,3055.000000,130.211000,3055.100000,129.411000,3055.200000,63.776000,3055.300000,44.816000,3055.400000,9.106000,3055.500000,18.881000,3055.600000,82.228000,3055.700000,37.726000,3055.800000,201.918000
1764326052953,261589405895,3054.800000,57.804000,3054.700000,115.968000,3054.600000,82.467000,3054.500000,83.858000,3054.400000,5.064000,3054.300000,54.030000,3054.200000,109.407000,3054.100000,54.123000,3054.000000,86.657000,3053.900000,17.690000,3054.900000,11.065000,3055.000000,130.211000,3055.100000,30.360000,3055.200000,21.858000,3055.300000,1.741000,3055.400000,9.106000,3055.500000,18.391000,3055.600000,38.036000,3055.700000,54.731000,3055.800000,5.571000
1764326053203,261589413671,3054.800000,17.611000,3054.700000,38.319000,3054.600000,82.467000,3054.500000,49.642000,3054.400000,152.384000,3054.300000,67.138000,3054.200000,110.392000,3054.100000,103.225000,3054.000000,54.560000,3053.900000,17.690000,3054.900000,70.675000,3055.000000,130.211000,3055.100000,62.457000,3055.200000,37.671000,3055.300000,44.620000,3055.400000,205.479000,3055.500000,17.065000,3055.600000,38.036000,3055.700000,131.020000,3055.800000,5.571000
