unix_timestamp_ms,bid,ask,mid
1764329726138,890.7,890.8,890.750000
1764329728620,890.7,890.8,890.750000
1764329728913,890.7,890.8,890.750000
1764329729163,890.7,890.8,890.750000
1764329729453,890.7,890.8,890.750000
1764329729708,890.7,890.8,890.750000
1764329729959,890.7,890.8,890.750000
1764329730211,890.7,890.8,890.750000
1764329730462,890.9,891.0,890.950000
1764329730738,890.9,891.0,890.950000
1764329730989,890.9,891.0,890.950000
1764329731284,890.9,891.0,890.950000
1764329731535,890.9,891.0,890.950000
1764329731813,890.9,891.0,890.950000
1764329732064,890.9,891.0,890.950000
1764329732322,890.9,891.0,890.950000
1764329732580,890.9,891.0,890.950000
1764329732835,890.8,891.0,890.900000
1764329733085,890.8,890.9,890.850000
1764329733347,890.8,890.9,890.850000
1764329733597,890.8,890.9,890.850000
1764329733852,890.8,890.9,890.850000
1764329734129,890.8,890.9,890.850000
1764329734379,890.8,890.9,890.850000
1764329734644,890.8,890.9,890.850000
1764329734902,890.8,890.9,890.850000
1764329735187,890.8,890.9,890.850000
1764329735471,890.8,890.9,890.850000
1764329735722,890.8,890.9,890.850000
1764329735984,890.8,890.9,890.850000
1764329736239,890.8,890.9,890.850000
1764329736507,890.8,890.9,890.850000
1764329736769,890.8,890.9,890.850000
1764329737046,890.8,890.9,890.850000
1764329737298,890.8,890.9,890.850000
1764329737596,890.8,890.9,890.850000
1764329737864,890.8,890.9,890.850000
1764329738114,890.8,890.9,890.850000
1764329738388,890.8,890.9,890.850000
1764329738682,890.8,890.9,890.850000
1764329738932,890.8,890.9,890.850000
1764329739192,890.8,890.9,890.850000
1764329739447,890.8,890.9,890.850000
1764329739715,890.8,890.9,890.850000
1764329739966,890.8,890.9,890.850000
1764329740234,890.8,890.9,890.850000
1764329740487,890.8,890.9,890.850000
1764329740782,890.8,890.9,890.850000
1764329741046,890.8,890.9,890.850000
1764329741314,890.8,890.9,890.850000
1764329741566,890.8,890.9,890.850000
1764329741816,890.8,890.9,890.850000
1764329742099,890.8,890.9,890.850000
1764329742352,890.8,890.9,890.850000
1764329742640,890.8,890.9,890.850000
1764329742896,890.8,890.9,890.850000
1764329743197,890.8,890.9,890.850000
1764329743493,890.8,890.9,890.850000
1764329743761,890.8,890.9,890.850000
1764329744011,890.9,891.0,890.950000
1764329744261,890.9,891.0,890.950000
1764329744544,890.9,891.0,890.950000
1764329744802,890.9,891.0,890.950000
1764329745056,890.9,891.0,890.950000
1764329745324,890.9,891.0,890.950000
1764329745584,890.9,891.0,890.950000
1764329745835,890.9,891.0,890.950000
1764329746098,890.9,891.0,890.950000
1764329746373,890.9,891.0,890.950000
1764329746628,890.9,891.0,890.950000
1764329746879,890.9,891.0,890.950000
1764329747152,890.9,891.0,890.950000
1764329747424,890.9,891.0,890.950000
1764329747689,890.9,891.0,890.950000
1764329747939,890.9,891.0,890.950000
1764329748232,890.9,891.0,890.950000
1764329748505,890.9,891.0,890.950000
1764329748777,890.9,891.0,890.950000
1764329749065,890.9,891.0,890.950000
1764329749318,890.9,891.0,890.950000
1764329749569,890.9,891.0,890.950000
1764329749836,890.9,891.0,890.950000
1764329750122,890.9,891.0,890.950000
1764329750372,890.9,891.0,890.950000
1764329750671,890.9,891.0,890.950000
1764329750924,890.9,891.0,890.950000
1764329751212,890.9,891.0,890.950000
1764329751513,890.9,891.0,890.950000
1764329751780,890.9,891.0,890.950000
1764329752053,890.9,891.0,890.950000
1764329752323,890.9,891.0,890.950000
1764329752603,890.9,891.0,890.950000
1764329752853,890.9,891.0,890.950000
1764329753147,890.9,891.0,890.950000
1764329753399,890.9,891.0,890.950000
1764329753691,890.9,891.0,890.950000
1764329753941,890.9,891.0,890.950000
1764329754199,890.9,891.0,890.950000
1764329754463,890.9,891.0,890.950000
1764329754713,890.9,891.0,890.950000
1764329754963,891.1,891.2,891.150000
1764329755220,891.1,891.2,891.150000
1764329755470,891.1,891.2,891.150000
1764329755726,891.1,891.2,891.150000
1764329755998,891.1,891.2,891.150000
1764329756250,891.1,891.2,891.150000
1764329756535,891.1,891.2,891.150000
1764329756788,891.1,891.2,891.150000
1764329757085,891.1,891.2,891.150000
1764329757356,891.1,891.2,891.150000
1764329757631,891.1,891.2,891.150000
1764329757901,891.1,891.2,891.150000
1764329758174,891.1,891.2,891.150000
1764329758426,891.2,891.3,891.250000
1764329758677,891.2,891.3,891.250000
1764329758939,890.8,890.9,890.850000
1764329759200,890.8,890.9,890.850000
1764329759451,890.8,890.9,890.850000
1764329759707,890.8,890.9,890.850000
1764329759957,890.8,890.9,890.850000
1764329760240,890.8,890.9,890.850000
1764329760491,890.8,890.9,890.850000
1764329760750,890.7,890.8,890.750000
1764329761000,890.7,890.8,890.750000
1764329761272,890.7,890.8,890.750000
1764329761522,890.7,890.8,890.750000
1764329761779,890.7,890.8,890.750000
1764329762031,890.8,890.9,890.850000
1764329762281,890.8,890.9,890.850000
1764329762533,890.8,890.9,890.850000
1764329762784,890.8,890.9,890.850000
1764329763076,890.8,890.9,890.850000
1764329763335,890.8,890.9,890.850000
1764329763622,890.8,890.9,890.850000
1764329763872,890.8,890.9,890.850000
1764329764161,890.8,890.9,890.850000
1764329764412,890.8,890.9,890.850000
1764329764717,890.8,890.9,890.850000
1764329764972,890.8,890.9,890.850000
1764329765229,890.8,890.9,890.850000
1764329765481,890.8,890.9,890.850000
1764329765733,890.8,890.9,890.850000
1764329766006,890.8,890.9,890.850000
1764329766280,890.8,890.9,890.850000
1764329766536,890.8,890.9,890.850000
1764329766832,890.8,890.9,890.850000
1764329767082,890.8,890.9,890.850000
1764329767380,890.8,890.9,890.850000
1764329767684,890.8,890.9,890.850000
1764329767935,890.8,890.9,890.850000
1764329768223,890.8,890.9,890.850000
