unix_timestamp_ms,bid,ask,mid
1764326045783,3054.2,3054.3,3054.250000
1764326050426,3054.6,3054.7,3054.650000
1764326050677,3054.6,3054.7,3054.650000
1764326050928,3054.6,3054.7,3054.650000
1764326051185,3054.8,3054.9,3054.850000
1764326051435,3054.8,3054.9,3054.850000
1764326051685,3054.8,3054.9,3054.850000
1764326051935,3054.8,3054.9,3054.850000
1764326052190,3054.8,3054.9,3054.850000
1764326052440,3054.8,3054.9,3054.850000
1764326052695,3054.8,3054.9,3054.850000
1764326052953,3054.8,3054.9,3054.850000
1764326053203,3054.8,3054.9,3054.850000
1764326053456,3054.9,3055.0,3054.950000
1764326053706,3054.9,3055.0,3054.950000
1764326053956,3054.9,3055.0,3054.950000
1764326054206,3054.9,3055.0,3054.950000
1764326054456,3054.9,3055.0,3054.950000
1764326054706,3054.9,3055.0,3054.950000
1764326054956,3054.9,3055.0,3054.950000
1764326055206,3054.9,3055.0,3054.950000
1764326055456,3054.7,3054.8,3054.750000
1764326055706,3054.7,3054.8,3054.750000
1764326055956,3054.7,3054.8,3054.750000
1764326056206,3054.5,3054.6,3054.550000
1764326056457,3054.5,3054.6,3054.550000
1764326056707,3054.5,3054.6,3054.550000
1764326056957,3054.2,3054.3,3054.250000
1764326057207,3054.2,3054.3,3054.250000
1764326057457,3054.1,3054.2,3054.150000
1764326057708,3054.1,3054.2,3054.150000
1764326057959,3054.1,3054.2,3054.150000
1764326058209,3054.0,3054.2,3054.100000
1764326058459,3053.9,3054.2,3054.050000
1764326058709,3054.1,3054.2,3054.150000
1764326058960,3053.9,3054.2,3054.050000
1764326059210,3054.0,3054.2,3054.100000
1764326059461,3054.0,3054.2,3054.100000
1764326059711,3054.0,3054.2,3054.100000
1764326059962,3054.1,3054.2,3054.150000
1764326060213,3054.0,3054.2,3054.100000
1764326060464,3054.1,3054.2,3054.150000
1764326060715,3054.1,3054.2,3054.150000
1764326060971,3054.1,3054.2,3054.150000
1764326061225,3054.1,3054.2,3054.150000
1764326061476,3054.0,3054.2,3054.100000
1764326061727,3053.9,3054.0,3053.950000
1764326061978,3053.9,3054.0,3053.950000
1764326062228,3053.9,3054.0,3053.950000
1764326062479,3053.8,3053.9,3053.850000
1764326062735,3053.8,3053.9,3053.850000
1764326062989,3053.8,3053.9,3053.850000
1764326063240,3053.8,3053.9,3053.850000
1764326063496,3053.8,3053.9,3053.850000
1764326063751,3053.8,3053.9,3053.850000
1764326064004,3053.8,3053.9,3053.850000
1764326064255,3053.8,3053.9,3053.850000
1764326064506,3053.8,3053.9,3053.850000
1764326064757,3053.8,3053.9,3053.850000
1764326065007,3053.8,3053.9,3053.850000
1764326065258,3053.8,3053.9,3053.850000
1764326065508,3053.8,3053.9,3053.850000
1764326065759,3053.8,3053.9,3053.850000
1764326066009,3053.8,3053.9,3053.850000
1764326066263,3053.8,3053.9,3053.850000
1764326066514,3053.8,3053.9,3053.850000
1764326066764,3053.8,3053.9,3053.850000
1764326067014,3053.8,3053.9,3053.850000
1764326067267,3053.8,3053.9,3053.850000
1764326067517,3053.8,3053.9,3053.850000
1764326067768,3053.7,3053.8,3053.750000
1764326068019,3053.7,3053.8,3053.750000
1764326068269,3053.5,3053.6,3053.550000
1764326068519,3053.5,3053.6,3053.550000
1764326068769,3053.5,3053.6,3053.550000
1764326069024,3053.5,3053.6,3053.550000
1764326069274,3053.5,3053.6,3053.550000
1764326069524,3053.5,3053.6,3053.550000
1764326069778,3053.5,3053.6,3053.550000
1764326070029,3053.5,3053.6,3053.550000
1764326070284,3053.5,3053.6,3053.550000
1764326070535,3053.5,3053.6,3053.550000
1764326070788,3053.5,3053.6,3053.550000
1764326071039,3053.5,3053.6,3053.550000
1764326071293,3053.5,3053.6,3053.550000
1764326071548,3053.5,3053.6,3053.550000
1764326071800,3053.5,3053.6,3053.550000
1764326072055,3053.5,3053.6,3053.550000
1764326072307,3053.5,3053.6,3053.550000
1764326072560,3053.5,3053.6,3053.550000
1764326072810,3053.5,3053.6,3053.550000
1764326073060,3053.5,3053.6,3053.550000
1764326073310,3053.5,3053.6,3053.550000
1764326073560,3053.5,3053.6,3053.550000
1764326073810,3053.5,3053.6,3053.550000
1764326074061,3053.5,3053.6,3053.550000
1764326074313,3053.5,3053.6,3053.550000
1764326074568,3053.5,3053.6,3053.550000
1764326074818,3053.5,3053.6,3053.550000
1764326075075,3053.5,3053.6,3053.550000
1764326075327,3053.5,3053.6,3053.550000
1764326075577,3053.5,3053.6,3053.550000
1764326075829,3053.5,3053.6,3053.550000
